employee_id,store_id,employee_name,role,gender,monthly_salary_inr,joining_date,employment_status
100001,6064,Kabir Parmer,Store Manager,M,63640.0,2024-03-25,Active
100002,6100,Riya Thaman,PICKER,m,64992.0,2024-05-09,Resigned
100003,6109,Banjeet De,delivery rider,f,47002.0,02-Sep-2024,On Leave
100004,6115,Yasti Buch,PICKER,F,40236.0,17-Dec-2022,Active
100005,6114,Laban Bal,Delivery Rider,M,19389.0,2022-11-06,active
100006,6021,Rishi Deep,Delivery Rider,m,56778.0,2026-01-22,Resigned
100007,6050,Bhavna Gandhi,Packer,Female,24820.0,2026-07-23,Active
100008,6090,Dominic Panchal,Inventory Associate,F,54208.0,2025-05-17,Active
100009,6129,Nathan Naik,PICKER,F,54361.0,2025-01-26,Active
100010,6047,Tanmayi Dhawan,delivery rider,F,32231.0,2026-03-20,Active
100011,6030,Sathvik Lall,Delivery Rider,f,43690.0,2023-08-25,Active
100012,6138,Eiravati Pradhan,delivery rider,f,31350.0,2025-02-03,Active
100013,6085,Netra Edwin,Picker,Female,54329.0,10-11-2022,Active
100014,6150,Falak Puri,Quality Checker,,16214.0,2025-03-06,active
100015,6107,Ishwar Wali,Quality Checker,M,28893.0,2023-04-22,Active
100016,6091,Sneha Verma,Inventory Associate,M,49003.0,2022-10-28,Resigned
100017,6053,Zayyan Wason,Quality Checker,m,24395.0,2024-12-13,Active
100018,6116,Kamya Lanka,Picker,M,57612.0,2025-02-24,Active
100019,6015,Madhav Parsa,Quality Checker,m,43081.0,2024-02-18,On Leave
100020,6043,Riya Karpe,Delivery Rider,,15653.0,2023-12-15,Active
100021,6004,Chaman Varty,Store Manager,F,47964.0,2023-05-04,active
100022,6045,Aarav Bandi,Inventory Associate,M,17177.0,2023-08-24,On Leave
100023,6002,Rachana Sahni,delivery rider,Female,44491.0,2023-07-08,Active
100024,6027,Kevin Suresh,Inventory Associate,F,22078.0,2024-09-06,active
100025,6014,Anthony Bhagat,Inventory Associate,f,42577.0,2023-07-17,Active
100026,6056,Daksha Cherian,Picker,,31063.0,2022-08-22,Active
100027,6084,Odika Mitra,Store Manager,Female,29674.0,2024-09-21,active
100028,6138,Jeevika Soman,PICKER,Female,,26/12/2024,Resigned
100029,6055,Yagnesh Dixit,delivery rider,m,51041.0,2023-04-07,Active
100030,6042,Maanav Madan,Quality Checker,F,,2024-06-07,active
100031,6018,Advay Bhalla,Delivery Rider,M,63923.0,2024-03-28,RESIGNED
100032,6017,Sachi Vasa,delivery rider,M,27314.0,2025-03-18,RESIGNED
100033,6074,Noah Acharya,PICKER,M,63634.0,2025-07-25,Active
100034,6067,Nidra Grewal,Delivery Rider,Male,,2022-10-22,Active
100035,6129,Henry Arora,PICKER,Male,16030.0,2023-08-01,Active
100036,6013,Lucky Sachdev,Store Manager,f,19956.0,2025-01-30,On Leave
100037,6135,Owen Trivedi,Store Manager,Male,,2023-06-06,On Leave
100038,6127,Chanakya Sridhar,Quality Checker,m,24413.0,2023-11-14,active
100039,6128,Keya Sarkar,Packer,M,64253.0,2025-06-29,active
100040,6027,Faris Sethi,Quality Checker,Male,39860.0,2025-08-11,On Leave
100041,6007,Advika Kata,Quality Checker,F,42053.0,2023-05-02,On Leave
100042,6060,Gautami Lall,PICKER,F,63445.0,2025-03-16,Active
100043,6149,Rajata Virk,Quality Checker,m,43511.0,2025-06-23,Active
100044,6113,Teerth Chada,Inventory Associate,m,35892.0,2026-07-08,Active
100045,6050,Omkaar Lad,Inventory Associate,Male,54457.0,24/02/2026,active
100046,6134,Nathaniel Narain,Quality Checker,F,26404.0,2026-04-01,Active
100047,6027,Falguni Khare,Store Manager,Female,23720.0,2023-05-26,On Leave
100048,6051,Urmi Wali,Picker,f,32402.0,2024-02-24,Active
100049,6103,Rajeshri Kaur,delivery rider,f,55443.0,06-03-2025,Resigned
100050,6002,Simon Raman,Store Manager,Female,52497.0,2024-11-29,Active
100051,6150,Onveer Dhillon,Store Manager,f,22140.0,2025-02-13,active
100052,6108,Hredhaan Edwin,Store Manager,Female,55262.0,2022-10-06,On Leave
100053,6006,Ayush Balasubramanian,delivery rider,m,25997.0,2024-01-04,Active
100054,6126,Ekansh Batra,Picker,M,28279.0,2022-10-18,Active
100055,6090,Ryan Walla,Picker,m,27433.0,2022-11-23,active
100056,6134,Leena Chhabra,Quality Checker,Female,43944.0,2026-03-13,On Leave
100057,6032,Isaac Bandi,Quality Checker,,31980.0,2023-08-14,On Leave
100058,6091,Bhavna Sood,Inventory Associate,M,62593.0,2022-10-08,Active
100059,6119,Samarth Menon,Store Manager,F,64895.0,2023-01-11,Active
100060,6144,Advika Bail,Store Manager,F,55864.0,2023-11-28,On Leave
100061,6076,Chanakya Pillai,Packer,Female,29103.0,2024-01-13,Active
100062,6048,Bhavna Balasubramanian,PICKER,M,32429.0,2026-04-09,Active
100063,6125,Rajata Venkataraman,delivery rider,m,57205.0,10-14-2025,RESIGNED
100064,6015,Upasna Bava,Picker,m,23201.0,2025-09-21,Resigned
100065,6003,Gavin Mani,Store Manager,M,30385.0,2024-10-12,RESIGNED
100066,6048,Saksham Mani,PICKER,Male,27666.0,2023-04-24,Active
100067,6024,Aayush Pall,Inventory Associate,F,27965.0,2025-09-05,On Leave
100068,6030,Qarin Talwar,Picker,Male,23131.0,2024-08-05,On Leave
100069,6037,Nathan Mander,PICKER,F,49359.0,2024-12-31,Active
100070,6120,Wishi Gandhi,PICKER,f,44524.0,2025-11-22,active
100071,6047,Vritti Cheema,Quality Checker,f,15347.0,2023-01-26,Active
100072,6131,Girish Rattan,PICKER,Female,,2025-02-21,active
100073,6087,Pahal Bakshi,Picker,f,45099.0,2026-05-06,Active
100074,6112,Adya Sangha,Quality Checker,Female,17455.0,2024-02-13,RESIGNED
100075,6104,Ladli Kaur,Quality Checker,m,47189.0,2026-03-27,On Leave
100076,6085,Bahadurjit Pall,Store Manager,Male,22360.0,2026-05-29,RESIGNED
100077,6103,Shravya Naik,delivery rider,m,40114.0,15/12/2024,RESIGNED
100078,6016,Aarini Kashyap,delivery rider,m,58151.0,2023-04-23,active
100079,6055,Wazir Tripathi,Delivery Rider,f,54978.0,19/02/2023,RESIGNED
100080,6108,Mohammed Dugal,Picker,,23089.0,2023-05-25,Active
100081,6048,Ijaya Dyal,delivery rider,M,42224.0,2026-07-13,Active
100082,6146,Aarna Chaudry,Delivery Rider,M,41595.0,2023-07-30,On Leave
100083,6004,Rohan Rajagopalan,delivery rider,m,57214.0,2023-04-16,On Leave
100084,6027,Chasmum Mishra,Picker,f,23946.0,2023-03-27,Active
100085,6032,Ikbal Chhabra,Picker,F,22452.0,2024-05-15,Resigned
100086,6116,Ucchal Bandi,Packer,M,62971.0,2023-10-03,active
100087,6076,Tristan Tella,PICKER,Female,30649.0,2022-09-06,Active
100088,6004,Ubika Bains,Picker,Female,61804.0,2026-07-22,RESIGNED
100089,6016,Abdul Kibe,Quality Checker,Male,61694.0,2023-03-14,Active
100090,6093,Oviya Karnik,Packer,f,45258.0,2026-04-06,Active
100091,6086,Pratyush Dash,Inventory Associate,,56660.0,2025-04-20,Active
100092,6004,Abha Chaudhari,Packer,m,52316.0,2024-06-12,On Leave
100093,6097,Mugdha Dugar,Store Manager,Female,14110.0,2026-03-18,Active
100094,6011,Vasudha Shah,Inventory Associate,F,51480.0,2023-08-19,RESIGNED
100095,6128,Zarna Goswami,Quality Checker,m,50285.0,2022-09-16,RESIGNED
100096,6080,Advaith Ramachandran,Delivery Rider,f,60421.0,2026-03-17,RESIGNED
100097,6099,Balvan Krishnamurthy,PICKER,m,37272.0,2025-12-16,Resigned
100098,6067,Ryan Venkataraman,Quality Checker,Female,27229.0,20/10/2024,RESIGNED
100099,6093,Samarth Soni,Quality Checker,Female,23765.0,2024-01-09,On Leave
100100,6028,Hemal Roy,Quality Checker,f,19356.0,2024-09-05,Active
100101,6133,Shivansh Gour,Delivery Rider,,51058.0,2025-08-07,Active
100102,6110,Ishani Bhalla,Picker,Female,53893.0,2024-03-14,Active
100103,6052,Mugdha Bhat,Packer,Female,,2023-08-22,active
100104,6125,Osha Pandey,Picker,m,21858.0,09-07-2022,Resigned
100105,6023,Udarsh Mitter,delivery rider,F,24467.0,2024-12-13,active
100106,6045,Manya Shere,Delivery Rider,Male,17884.0,2025-08-06,RESIGNED
100107,6067,Ekapad Hans,PICKER,M,34819.0,2023-06-24,active
100108,7004,Madhav Pandit,PICKER,f,35228.0,2024-07-04,Active
100109,6098,Upadhriti Menon,Packer,Female,23381.0,2025-04-18,On Leave
100110,6010,Upasna Pant,Packer,,54544.0,2025-09-02,Active
100111,6025,Amara Puri,delivery rider,M,43644.0,2025-10-06,Active
100112,6030,Quincy Subramaniam,Quality Checker,F,62238.0,2025-05-19,Resigned
100113,6113,Ishita Konda,Packer,Male,30171.0,2022-08-22,RESIGNED
100114,6086,Varsha Sundaram,Packer,Male,34844.0,2025-04-01,Active
100115,6015,Janani Dua,Store Manager,m,32758.0,2024-05-06,Active
100116,6067,Dakshesh Chada,Store Manager,F,32967.0,05-06-2026,Active
100117,6005,Logan Wali,PICKER,m,23184.0,2025-12-10,Resigned
100118,6048,Advay Kadakia,Quality Checker,,40800.0,2025-12-15,Active
100119,6134,Zashil Chaudhuri,Store Manager,f,53364.0,09-Jun-2026,RESIGNED
100120,6045,Quincy Seth,Store Manager,F,60383.0,12-11-2024,Active
100121,6017,Sathvik Rau,delivery rider,f,47977.0,2024-01-07,RESIGNED
100122,6127,Gautam Mishra,Picker,M,64002.0,2025-10-18,Active
100123,6048,Farhan Sarna,Quality Checker,M,38324.0,2023-06-03,Active
100124,6115,Jagat Lalla,Picker,M,30038.0,2025-04-25,Active
100125,6148,Urvashi Tailor,Delivery Rider,Male,61903.0,2024-04-22,Resigned
100126,6035,Unni Dhawan,Delivery Rider,F,28660.0,11-10-2024,Active
100127,6008,Wishi Gala,Delivery Rider,M,62414.0,07-Jun-2025,Resigned
100128,6114,Naveen Nagi,Picker,Male,60995.0,2024-10-15,On Leave
100129,6150,Chaman Shroff,Inventory Associate,M,40584.0,2024-07-02,Active
100130,6038,Faqid Gole,PICKER,f,15212.0,2024-02-17,On Leave
100131,6135,Ansh Bath,Delivery Rider,Female,17405.0,2025-03-06,Active
100132,6112,Girindra Uppal,Quality Checker,Female,17509.0,05-12-2025,Active
100133,6003,Bahadurjit Kala,Quality Checker,M,18539.0,2024-07-26,active
100134,6058,Hamsini Chandra,Packer,Female,64893.0,2025-07-03,Active
100135,6009,Harita Som,Inventory Associate,f,55172.0,2026-01-28,Resigned
100136,6065,Bhanumati Saran,Picker,,29509.0,2025-09-29,Active
100137,6043,Charles Mann,Picker,M,47671.0,31/12/2023,On Leave
100138,6131,Netra Nath,Packer,Male,51836.0,2023-10-20,Active
100139,6074,Yashawini Pai,PICKER,m,28523.0,2024-08-23,active
100140,6118,Jacob Narayanan,Inventory Associate,m,,2026-07-13,Active
100141,6140,Joshua Chahal,delivery rider,m,37111.0,2023-05-26,Active
100142,6084,Mohini Ravi,PICKER,Male,28165.0,2025-10-07,Active
100143,6018,Mohini Mital,Quality Checker,Female,47881.0,2024-10-23,active
100144,6134,Ranveer Soman,Store Manager,f,24126.0,2023-01-24,Active
100145,6052,Xiti Puri,Inventory Associate,m,62711.0,2025-01-24,Active
100146,6033,Simon Baral,delivery rider,,64179.0,04-Feb-2025,Resigned
100147,6107,Owen Chaudhuri,Inventory Associate,m,38874.0,2025-04-19,Active
100148,6075,Oviya Chaudhuri,Quality Checker,Female,53021.0,2025-04-14,RESIGNED
100149,6098,Jyoti Dewan,PICKER,Male,33925.0,2026-04-15,On Leave
100150,6060,Chasmum Goyal,Picker,Male,53851.0,2025-10-11,Active
100151,6003,Anmol Sankar,Delivery Rider,M,46593.0,2024-04-26,Active
100152,6112,Widisha Vig,delivery rider,Female,16668.0,2024-11-23,Active
100153,6018,Oviya Ravel,Store Manager,M,46827.0,2022-10-15,Resigned
100154,6049,Lila Dugal,delivery rider,Female,64287.0,2024-06-01,Active
100155,6024,Harsh Butala,Packer,Male,18920.0,2024-07-13,Active
100156,6076,Max Aurora,Quality Checker,m,41583.0,2025-03-17,RESIGNED
100157,6054,Jairaj Chakrabarti,Store Manager,Female,55294.0,2024-05-03,active
100158,6003,Kai Sodhi,Delivery Rider,Male,,2023-07-03,RESIGNED
100159,7001,Shravya Grover,Delivery Rider,,25481.0,2022-09-13,Active
100160,6137,Maanav Chad,Packer,m,53435.0,2026-04-28,Active
100161,6020,Triveni Kumar,Packer,m,44639.0,2023-10-21,Active
100162,6004,Azad Apte,Quality Checker,F,37189.0,2026-04-14,RESIGNED
100163,6017,Lopa Mukhopadhyay,Quality Checker,F,,2022-11-15,On Leave
100164,6012,Vidhi Bhasin,PICKER,M,30340.0,18/11/2023,Active
100165,6117,Upma Ganesan,Inventory Associate,Female,46476.0,24-Nov-2023,active
100166,6057,Janani Gade,delivery rider,Male,60646.0,2023-03-18,Active
100167,6045,Vansha Rajan,Packer,Male,14500.0,2025-02-24,Resigned
100168,6030,Anita Nath,Quality Checker,m,36012.0,2025-09-28,On Leave
100169,6142,Gaurangi Aurora,Store Manager,Female,32585.0,2023-10-20,Active
100170,6007,Priya Koshy,Quality Checker,F,22510.0,2025-12-15,RESIGNED
100171,6143,Vivaan Seth,PICKER,Female,29740.0,2024-02-20,active
100172,6097,Ekanta Lall,Store Manager,Male,47084.0,2023-10-06,active
100173,6067,Brijesh Mani,PICKER,m,49039.0,2023-09-14,Active
100174,6032,Anusha Tata,Picker,m,62230.0,2025-12-18,active
100175,6038,Vedhika Raj,Inventory Associate,M,19638.0,2024-01-07,Active
100176,6049,Dayamai Bhandari,Picker,M,37690.0,2023-06-07,Active
100177,6080,Samuel Kumar,Picker,F,60969.0,2025-05-05,RESIGNED
100178,6034,Lekha Sharaf,Inventory Associate,,58539.0,2024-12-22,On Leave
100179,6119,Dev Kaul,Store Manager,Female,55210.0,2024-10-16,Active
100180,6057,Ekani Sood,Delivery Rider,,24617.0,2024-03-22,Active
100181,6011,Ranbir Kala,Inventory Associate,f,25774.0,2024-08-27,On Leave
100182,6066,Bimala Patil,delivery rider,f,36874.0,05-26-2023,Active
100183,6013,Neha Varughese,Store Manager,f,34876.0,2024-12-10,active
100184,6107,Chaitanya Tak,delivery rider,f,28470.0,22-Jan-2026,On Leave
100185,6129,Kamya Sheth,PICKER,,59760.0,2024-02-16,RESIGNED
100186,6126,Diya Balasubramanian,Store Manager,M,50642.0,2025-10-12,RESIGNED
100187,6061,Girindra Bandi,Inventory Associate,F,25013.0,2024-01-04,Active
100188,6080,Tanay Lal,Packer,F,45879.0,2023-06-13,Active
100189,6132,Pooja Chatterjee,PICKER,F,37033.0,02/05/2026,Resigned
100190,6062,Aachal Barad,Quality Checker,f,49930.0,2026-06-01,active
100191,6040,Kritika Chacko,PICKER,Female,21502.0,27-Dec-2023,Active
100192,6016,Kala Shanker,Inventory Associate,Male,59981.0,2022-09-28,Active
100193,6114,Mekhala Dar,PICKER,m,25016.0,30-Jul-2024,RESIGNED
100194,6022,Aarini Nagar,Quality Checker,f,21130.0,2025-06-16,On Leave
100195,6140,Yashawini Ramaswamy,Quality Checker,M,19961.0,2024-11-20,active
100196,6065,Kamala Keer,Store Manager,M,,2023-05-12,Active
100197,6095,Orinder Barad,Packer,f,58700.0,2026-08-06,RESIGNED
100198,6084,Daniel Bala,delivery rider,F,37346.0,2026-05-25,Resigned
100199,6065,Aarna Varghese,Store Manager,,51150.0,2025-12-24,active
100200,6013,Daksh Chaudhuri,Store Manager,Female,61891.0,2025-06-20,Resigned
100201,6021,Rushil Misra,Packer,f,23063.0,2023-03-18,Active
100202,6113,Henry Sinha,PICKER,F,,2024-12-27,RESIGNED
100203,6109,Madhavi Dash,Packer,,17624.0,2023-12-05,Active
100204,6113,Om Sastry,Delivery Rider,f,25552.0,02-17-2024,Active
