customer_id,customer_name,phone,email,city,signup_platform,app_version,signup_date
400001,Chameli Anand,5829928840,ekansh51@example.net,Kochi,BigBasket,Android,12-23-2024
400002,Zayyan Dutta,4575176532,maxsha@example.org,Bengaluru,BigBasket,iOS,2024-10-23
400003,Vidhi Badal,0613055455,venkateshhamsini@example.org,Lucknow,Blinkit,Android,2025-03-10
400004,Gaurav Seth,6486016862,aahana52@example.net,Chennai,Blinkit,Android,2025-06-10
400005,Divya Sandhu,4026454034,vedant69@example.com,Jaipur,Zepto,Android,13/05/2024
400006,Dev Apte,0778394613,nlanka@example.com,Kolkata,BigBasket,Android,2024-03-15
400007,Oscar Bhasin,4300117089,omisharoy@example.org,Delhi,Blinkit,ios,2024-02-03
400008,Liam Sethi,,wkuruvilla@example.org,Chandigarh,Swiggy Instamart,ios,2024-06-03
400009,Wridesh Dhillon,3401725275,pprashad@example.net,Lucknow,Blinkit,iOS,2025-06-16
400010,Amaira Chana,2521558959,xbanerjee@example.com,Lucknow,Zepto,Android,2026-04-16
400011,Warda Kalita,7313308113,chanakyade@example.com,bengaluru,Zepto,Android,2023-11-20
400012,Zinal Bhatia,9658258105,skashyap@example.net,Kochi,Swiggy Instamart,iOS,2026-03-22
400013,Christopher Kapadia,5719157880,kritika21@example.net,Kochi,Blinkit,iOS,2026-07-21
400014,Yutika Oak,5852750502,logan04@example.org,Chennai,Blinkit,Android,2025-04-12
400015,Divya Kannan,2223968924,pdhar@example.net,Bengaluru,Swiggy Instamart,Android,2025-07-28
400016,Gauri Dugar,3664791916,siddharthahluwalia@example.net,Hyderabad,Swiggy Instamart,ANDROID,2023-09-15
400017,Ekbal Joshi,5597246541,tsachar@example.org,Kochi,Swiggy Instamart,ios,09-Jul-2025
400018,Fitan Badal,8948173741,dugarryan@example.net,Kochi,Blinkit,,2024-05-26
400019,Gautami Doshi,0262760808,,Ahmedabad,BigBasket,,2026-03-06
400020,Ishanvi Jha,9194675597,munshiekaja@example.net,Mumbai,Zepto,,2024-08-18
400021,Aryan Ravel,,,Jaipur,Blinkit,Android,2025-04-14
