employee_id,store_id,employee_name,role,gender,monthly_salary_inr,joining_date,employment_status,clean_store_id,salary_status,work_status
100001,6064,Kabir Parmer,Store Manager,Male,63640.0,2024-03-25,Active,6064,Normal,Currently Working
100002,6100,Riya Thaman,Picker,Male,64992.0,2024-05-09,Resigned,6100,Normal,Resigned
100003,6109,Banjeet De,Delivery Rider,Female,47002.0,2024-09-02,On Leave,6109,Normal,On Leave
100004,6115,Yasti Buch,Picker,Female,40236.0,2022-12-17,Active,6115,Normal,Currently Working
100005,6114,Laban Bal,Delivery Rider,Male,19389.0,2022-11-06,Active,6114,Normal,Currently Working
100006,6021,Rishi Deep,Delivery Rider,Male,56778.0,2026-01-22,Resigned,6021,Normal,Resigned
100007,6050,Bhavna Gandhi,Packer,Female,24820.0,2026-07-23,Active,6050,Normal,Currently Working
100008,6090,Dominic Panchal,Inventory Associate,Female,54208.0,2025-05-17,Active,6090,Normal,Currently Working
100009,6129,Nathan Naik,Picker,Female,54361.0,2025-01-26,Active,6129,Normal,Currently Working
100010,6047,Tanmayi Dhawan,Delivery Rider,Female,32231.0,2026-03-20,Active,6047,Normal,Currently Working
100011,6030,Sathvik Lall,Delivery Rider,Female,43690.0,2023-08-25,Active,6030,Normal,Currently Working
100012,6138,Eiravati Pradhan,Delivery Rider,Female,31350.0,2025-02-03,Active,6138,Normal,Currently Working
100013,6085,Netra Edwin,Picker,Female,54329.0,2022-10-11,Active,6085,Normal,Currently Working
100014,6150,Falak Puri,Quality Checker,Unknown,16214.0,2025-03-06,Active,6150,Normal,Currently Working
100015,6107,Ishwar Wali,Quality Checker,Male,28893.0,2023-04-22,Active,6107,Normal,Currently Working
100016,6091,Sneha Verma,Inventory Associate,Male,49003.0,2022-10-28,Resigned,6091,Normal,Resigned
100017,6053,Zayyan Wason,Quality Checker,Male,24395.0,2024-12-13,Active,6053,Normal,Currently Working
100018,6116,Kamya Lanka,Picker,Male,57612.0,2025-02-24,Active,6116,Normal,Currently Working
100019,6015,Madhav Parsa,Quality Checker,Male,43081.0,2024-02-18,On Leave,6015,Normal,On Leave
100020,6043,Riya Karpe,Delivery Rider,Unknown,15653.0,2023-12-15,Active,6043,Normal,Currently Working
100021,6004,Chaman Varty,Store Manager,Female,47964.0,2023-05-04,Active,6004,Normal,Currently Working
100022,6045,Aarav Bandi,Inventory Associate,Male,17177.0,2023-08-24,On Leave,6045,Normal,On Leave
100023,6002,Rachana Sahni,Delivery Rider,Female,44491.0,2023-07-08,Active,6002,Normal,Currently Working
100024,6027,Kevin Suresh,Inventory Associate,Female,22078.0,2024-09-06,Active,6027,Normal,Currently Working
100025,6014,Anthony Bhagat,Inventory Associate,Female,42577.0,2023-07-17,Active,6014,Normal,Currently Working
100026,6056,Daksha Cherian,Picker,Unknown,31063.0,2022-08-22,Active,6056,Normal,Currently Working
100027,6084,Odika Mitra,Store Manager,Female,29674.0,2024-09-21,Active,6084,Normal,Currently Working
100028,6138,Jeevika Soman,Picker,Female,38424.5,2024-12-26,Resigned,6138,Normal,Resigned
100029,6055,Yagnesh Dixit,Delivery Rider,Male,51041.0,2023-04-07,Active,6055,Normal,Currently Working
100030,6042,Maanav Madan,Quality Checker,Female,39702.5,2024-06-07,Active,6042,Normal,Currently Working
100031,6018,Advay Bhalla,Delivery Rider,Male,63923.0,2024-03-28,Resigned,6018,Normal,Resigned
100032,6017,Sachi Vasa,Delivery Rider,Male,27314.0,2025-03-18,Resigned,6017,Normal,Resigned
100033,6074,Noah Acharya,Picker,Male,63634.0,2025-07-25,Active,6074,Normal,Currently Working
100034,6067,Nidra Grewal,Delivery Rider,Male,39424.5,2022-10-22,Active,6067,Normal,Currently Working
100035,6129,Henry Arora,Picker,Male,16030.0,2023-08-01,Active,6129,Normal,Currently Working
100036,6013,Lucky Sachdev,Store Manager,Female,19956.0,2025-01-30,On Leave,6013,Normal,On Leave
100037,6135,Owen Trivedi,Store Manager,Male,38812.0,2023-06-06,On Leave,6135,Normal,On Leave
100038,6127,Chanakya Sridhar,Quality Checker,Male,24413.0,2023-11-14,Active,6127,Normal,Currently Working
100039,6128,Keya Sarkar,Packer,Male,64253.0,2025-06-29,Active,6128,Normal,Currently Working
100040,6027,Faris Sethi,Quality Checker,Male,39860.0,2025-08-11,On Leave,6027,Normal,On Leave
100041,6007,Advika Kata,Quality Checker,Female,42053.0,2023-05-02,On Leave,6007,Normal,On Leave
100042,6060,Gautami Lall,Picker,Female,63445.0,2025-03-16,Active,6060,Normal,Currently Working
100043,6149,Rajata Virk,Quality Checker,Male,43511.0,2025-06-23,Active,6149,Normal,Currently Working
100044,6113,Teerth Chada,Inventory Associate,Male,35892.0,2026-07-08,Active,6113,Normal,Currently Working
100045,6050,Omkaar Lad,Inventory Associate,Male,54457.0,2026-02-24,Active,6050,Normal,Currently Working
100046,6134,Nathaniel Narain,Quality Checker,Female,26404.0,2026-04-01,Active,6134,Normal,Currently Working
100047,6027,Falguni Khare,Store Manager,Female,23720.0,2023-05-26,On Leave,6027,Normal,On Leave
100048,6051,Urmi Wali,Picker,Female,32402.0,2024-02-24,Active,6051,Normal,Currently Working
100049,6103,Rajeshri Kaur,Delivery Rider,Female,55443.0,2025-06-03,Resigned,6103,Normal,Resigned
100050,6002,Simon Raman,Store Manager,Female,52497.0,2024-11-29,Active,6002,Normal,Currently Working
100051,6150,Onveer Dhillon,Store Manager,Female,22140.0,2025-02-13,Active,6150,Normal,Currently Working
100052,6108,Hredhaan Edwin,Store Manager,Female,55262.0,2022-10-06,On Leave,6108,Normal,On Leave
100053,6006,Ayush Balasubramanian,Delivery Rider,Male,25997.0,2024-01-04,Active,6006,Normal,Currently Working
100054,6126,Ekansh Batra,Picker,Male,28279.0,2022-10-18,Active,6126,Normal,Currently Working
100055,6090,Ryan Walla,Picker,Male,27433.0,2022-11-23,Active,6090,Normal,Currently Working
100056,6134,Leena Chhabra,Quality Checker,Female,43944.0,2026-03-13,On Leave,6134,Normal,On Leave
100057,6032,Isaac Bandi,Quality Checker,Unknown,31980.0,2023-08-14,On Leave,6032,Normal,On Leave
100058,6091,Bhavna Sood,Inventory Associate,Male,62593.0,2022-10-08,Active,6091,Normal,Currently Working
100059,6119,Samarth Menon,Store Manager,Female,64895.0,2023-01-11,Active,6119,Normal,Currently Working
100060,6144,Advika Bail,Store Manager,Female,55864.0,2023-11-28,On Leave,6144,Normal,On Leave
100061,6076,Chanakya Pillai,Packer,Female,29103.0,2024-01-13,Active,6076,Normal,Currently Working
100062,6048,Bhavna Balasubramanian,Picker,Male,32429.0,2026-04-09,Active,6048,Normal,Currently Working
