customer_id,customer_name,city,signup_platform,app_version,signup_date
400001,Chameli Anand,Kochi,Big Basket,Android,23-12-2024
400002,Zayyan Dutta,Bengaluru,Big Basket,IOS,23-10-2024
400003,Vidhi Badal,Lucknow,Blinkit,Android,10-03-2025
400004,Gaurav Seth,Chennai,Blinkit,Android,10-06-2025
400005,Divya Sandhu,Jaipur,Zepto,Android,13-05-2024
400006,Dev Apte,Kolkata,Big Basket,Android,15-03-2024
400007,Oscar Bhasin,Delhi,Blinkit,IOS,03-02-2024
400008,Liam Sethi,Chandigarh,Swiggy Instamart,IOS,03-06-2024
400009,Wridesh Dhillon,Lucknow,Blinkit,IOS,16-06-2025
400010,Amaira Chana,Lucknow,Zepto,Android,16-04-2026
400011,Warda Kalita,Bengaluru,Zepto,Android,20-11-2023
400012,Zinal Bhatia,Kochi,Swiggy Instamart,IOS,22-03-2026
400013,Christopher Kapadia,Kochi,Blinkit,IOS,21-07-2026
400014,Yutika Oak,Chennai,Blinkit,Android,12-04-2025
400015,Divya Kannan,Bengaluru,Swiggy Instamart,Android,28-07-2025
400016,Gauri Dugar,Hyderabad,Swiggy Instamart,Android,15-09-2023
400017,Ekbal Joshi,Kochi,Swiggy Instamart,IOS,09-07-2025
400018,Fitan Badal,Kochi,Blinkit,Others,26-05-2024
400019,Gautami Doshi,Ahmedabad,Big Basket,Others,06-03-2026
400020,Ishanvi Jha,Mumbai,Zepto,Others,18-08-2024
400021,Aryan Ravel,Jaipur,Blinkit,Android,14-04-2025
400022,Gopal Gour,Lucknow,Blinkit,IOS,07-05-2024
400023,Ethan Kalita,Jaipur,Blinkit,Android,15-01-2026
400024,Dalbir Anand,Lucknow,Zepto,IOS,01-05-2026
400025,Maanav Bhatt,Jaipur,Zepto,Android,13-01-2024
400026,Tarak Grover,Jaipur,Big Basket,Android,01-05-2026
400027,Samar Sundaram,Bengaluru,Zepto,Android,10-05-2025
400028,Yuvraj Das,Ahmedabad,Zepto,Others,11-07-2024
400029,Nakul Ghose,Kochi,Zepto,IOS,07-03-2026
400030,Zaitra Mital,Bengaluru,Swiggy Instamart,Android,01-09-2024
400031,Damyanti Tailor,Lucknow,Big Basket,Android,22-06-2026
400032,Omkaar Loyal,Kochi,Big Basket,IOS,23-05-2025
400033,Xiti Thaman,Kolkata,Blinkit,Android,20-09-2023
400034,Eshana Deshpande,Hyderabad,Zepto,Android,20-09-2023
400035,Timothy Sethi,Kochi,Big Basket,IOS,09-05-2024
400036,Siddharth Varty,Jaipur,Big Basket,IOS,07-04-2026
400037,Zayyan Barad,Kochi,Zepto,Android,20-05-2025
400038,Hiral Roy,Bengaluru,Blinkit,IOS,25-01-2024
400039,Andrew Buch,Kolkata,Swiggy Instamart,Android,26-08-2023
400040,Naveen Ratta,Lucknow,Swiggy Instamart,IOS,28-05-2026
